date,NO2
2023-10-01,2.9333703e-05
2023-10-02,7.8271405e-06
2023-10-03,1.5076535e-05
2023-10-04,1.2636872e-05
2023-10-05,1.5729962e-05
2023-10-06,2.2592514e-05
2023-10-07,2.404469e-05
2023-10-08,2.2506882e-05
2023-10-09,1.3459305e-05
2023-10-10,1.10175815e-05
2023-10-11,7.5920834e-06
2023-10-12,1.8384277e-05
2023-10-13,8.333957e-06
2023-10-14,1.2701625e-05
2023-10-15,9.744629e-06
2023-10-16,1.1331087e-05
2023-10-17,2.0115502e-05
2023-10-18,1.5269143e-05
2023-10-19,1.4266548e-05
2023-10-20,1.5746424e-05
2023-10-21,2.330388e-05
2023-10-22,1.7406395e-05
2023-10-23,1.6201733e-05
2023-10-24,1.4105886e-05
2023-10-25,1.8238443e-05
2023-10-26,2.0877791e-05
2023-10-27,2.4155994e-05
2023-10-28,2.1568181e-05
2023-10-29,2.4567713e-05
2023-10-30,1.3607036e-05
2023-10-31,1.544068e-05
2023-11-01,1.6437e-05
2023-11-02,2.0862466e-05
2023-11-03,1.05317185e-05
2023-11-04,1.6704234e-05
2023-11-05,3.9344113e-06
2023-11-06,7.776313e-06
2023-11-07,1.3048779e-05
2023-11-08,1.8144416e-05
2023-11-09,2.1221756e-05
2023-11-10,1.5112516e-05
2023-11-12,9.003277e-06
2023-11-13,1.5275502e-05
2023-11-14,1.6778027e-05
2023-11-15,1.5545618e-05
2023-11-16,1.4313211e-05
2023-11-17,7.723867e-06
2023-11-18,1.1345252e-06
2023-11-19,-5.4548173e-06
2023-11-20,1.4203139e-05
2023-11-21,1.4125355e-05
2023-11-22,1.3700825e-05
2023-11-23,2.1983102e-05
2023-11-24,2.126945e-05
2023-11-25,2.0555803e-05
2023-11-26,1.9842153e-05
2023-11-27,1.9128503e-05
2023-11-28,1.8414856e-05
2023-11-29,1.7701204e-05
2023-11-30,1.6987557e-05
2023-12-01,1.6273909e-05
2023-12-02,1.4286016e-05
2023-12-03,1.5293155e-05
2023-12-04,1.6300295e-05
2023-12-05,6.5765116e-06
2023-12-06,6.8998825e-06
2023-12-07,7.223254e-06
2023-12-08,7.5466255e-06
2023-12-09,7.869997e-06
2023-12-10,8.193369e-06
2023-12-11,8.51674e-06
2023-12-12,1.0880015e-05
2023-12-13,9.509779e-06
2023-12-14,8.139544e-06
2023-12-15,7.2408416e-06
2023-12-16,6.3421385e-06
2023-12-17,5.443436e-06
2023-12-18,4.156894e-06
2023-12-19,2.8703516e-06
2023-12-20,7.882043e-06
2023-12-21,7.3041306e-06
2023-12-22,6.726219e-06
2023-12-23,6.148307e-06
2023-12-24,5.570395e-06
2023-12-25,7.922092e-06
2023-12-26,1.0273789e-05
2023-12-27,3.909771e-06
2023-12-28,-2.4542474e-06
2023-12-29,1.6676731e-05
2023-12-30,1.0123415e-05
2023-12-31,1.8488136e-05
2024-01-02,7.86273e-06
2024-01-03,7.653163e-06
2024-01-04,7.443598e-06
2024-01-05,1.1824199e-05
2024-01-06,1.62048e-05
2024-01-07,2.0585401e-05
2024-01-08,2.4966004e-05
2024-01-09,2.9346602e-05
2024-01-10,3.3727203e-05
2024-01-11,3.5199806e-05
2024-01-12,2.9221206e-05
2024-01-13,2.3242605e-05
2024-01-14,2.2497312e-05
2024-01-15,2.175202e-05
2024-01-16,2.1006725e-05
2024-01-17,2.026143e-05
2024-01-18,1.9516137e-05
2024-01-19,1.8770847e-05
2024-01-20,1.8025552e-05
2024-01-21,1.7280257e-05
2024-01-22,1.6439662e-05
2024-01-23,1.5744694e-05
2024-01-24,1.5049726e-05
2024-01-25,1.4354759e-05
2024-01-26,1.365979e-05
2024-01-27,1.2964823e-05
2024-01-28,1.276779e-05
2024-01-29,1.2570759e-05
2024-01-30,1.2373728e-05
2024-01-31,1.2176697e-05
2024-02-01,1.1979666e-05
2024-02-02,9.878133e-06
2024-02-03,7.7766e-06
2024-02-04,5.675067e-06
2024-02-05,3.5735343e-06
2024-02-06,1.4720015e-06
2024-02-07,-6.295314e-07
2024-02-08,-2.7310643e-06
2024-02-09,-1.7754707e-06
2024-02-10,-8.1987713e-07
2024-02-11,1.357165e-07
2024-02-12,1.09131e-06
2024-02-13,2.0469038e-06
2024-02-14,3.0024971e-06
2024-02-15,3.958091e-06
2024-02-16,4.913684e-06
2024-02-17,4.5656016e-06
2024-02-18,4.2175184e-06
2024-02-19,3.869435e-06
2024-02-20,1.073527e-05
2024-02-21,1.846185e-05
2024-02-22,2.6439313e-05
2024-02-23,2.5219688e-05
2024-02-24,2.4000063e-05
2024-02-25,2.278044e-05
2024-02-26,2.1560816e-05
2024-02-27,2.0341191e-05
2024-02-28,1.9121568e-05
2024-02-29,1.7901943e-05
2024-03-01,1.6682317e-05
2024-03-02,1.5462694e-05
2024-03-03,1.3736694e-05
2024-03-04,1.5820577e-05
2024-03-05,1.8891873e-05
2024-03-06,2.1963171e-05
2024-03-07,2.0495441e-05
2024-03-08,1.9027713e-05
2024-03-09,1.7559983e-05
2024-03-10,1.6092254e-05
2024-03-12,1.4624525e-05
2024-03-13,1.3156796e-05
2024-03-14,1.1689068e-05
2024-03-15,1.0221338e-05
2024-03-16,8.753608e-06
2024-03-17,7.2858793e-06
2024-03-18,5.81815e-06
2024-03-19,1.569573e-05
2024-03-20,1.4016977e-05
2024-03-21,1.23382215e-05
2024-03-22,1.0659467e-05
2024-03-24,8.980713e-06
2024-03-25,8.74475e-06
2024-03-26,8.508785e-06
2024-03-27,6.499953e-06
2024-03-28,5.2778682e-06
2024-03-29,4.055782e-06
2024-03-30,1.2141849e-05
2024-03-31,1.6336302e-05
2024-04-01,1.2793941e-05
2024-04-02,9.25158e-06
2024-04-03,5.7092184e-06
2024-04-04,8.964764e-06
2024-04-05,1.2220309e-05
2024-04-06,1.5475855e-05
2024-04-07,1.87314e-05
2024-04-08,2.1122607e-05
2024-04-09,2.0938227e-05
2024-04-10,2.0753849e-05
2024-04-11,2.0569469e-05
2024-04-12,2.038509e-05
2024-04-13,2.0200712e-05
2024-04-14,2.0016334e-05
2024-04-15,1.9831954e-05
2024-04-16,2.0044923e-05
2024-04-17,1.7467815e-05
2024-04-18,1.4890706e-05
2024-04-19,1.2313597e-05
2024-04-20,9.736488e-06
2024-04-21,7.522545e-06
2024-04-22,5.3086014e-06
2024-04-23,3.0946587e-06
2024-04-24,6.7250567e-06
2024-04-25,1.0355455e-05
2024-04-26,1.3985853e-05
2024-04-27,1.2173329e-05
